date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:36	437/437	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:36%20GMT	https://www.paypal.com/us/webapps/mpp/account-selection	C:/Users/m/Downloads/Prueba%203/www.paypal.com/us/webapps/mpp/account-selection	(from https://www.paypal.com/signin)
19:20:36	2236/2236	---M--	200	added ('OK')	image/png	etag:%2260271b47-8bc%22	https://www.paypalobjects.com/images/shared/icon-PN-check.png	C:/Users/m/Downloads/Prueba%203/www.paypalobjects.com/images/shared/icon-PN-check.png	(from https://www.paypal.com/signin)
19:20:37	432/432	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:37%20GMT	https://www.paypal.com/authflow/password-recovery/?country.x=US&locale.x=en_US&redirectUri=%252Fsignin	C:/Users/m/Downloads/Prueba%203/www.paypal.com/authflow/password-recovery/index49b7.html	(from https://www.paypal.com/signin)
19:20:37	5828/5828	---M--	200	added ('OK')	image/png	etag:%2254130c54-16c4%22	https://www.paypalobjects.com/images/shared/glyph_alert_critical_big-2x.png	C:/Users/m/Downloads/Prueba%203/www.paypalobjects.com/images/shared/glyph_alert_critical_big-2x.png	(from https://www.paypal.com/signin)
19:20:37	430/430	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:37%20GMT	https://www.paypal.com/{coBrand}/cgi-bin/helpscr?cmd=_help	C:/Users/m/Downloads/Prueba%203/www.paypal.com/{coBrand}/cgi-bin/helpscrb621	(from https://www.paypal.com/signin)
19:20:38	428/428	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:38%20GMT	https://www.paypal.com/us/smarthelp/contact-us	C:/Users/m/Downloads/Prueba%203/www.paypal.com/us/smarthelp/contact-us	(from https://www.paypal.com/signin)
19:20:38	435/435	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:38%20GMT	https://www.paypal.com/us/webapps/mpp/ua/privacy-full	C:/Users/m/Downloads/Prueba%203/www.paypal.com/us/webapps/mpp/ua/privacy-full	(from https://www.paypal.com/signin)
19:20:38	436/436	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:38%20GMT	https://www.paypal.com/us/webapps/mpp/ua/legalhub-full	C:/Users/m/Downloads/Prueba%203/www.paypal.com/us/webapps/mpp/ua/legalhub-full	(from https://www.paypal.com/signin)
19:20:38	445/445	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:39%20GMT	https://www.paypal.com/us/webapps/mpp/ua/upcoming-policies-full	C:/Users/m/Downloads/Prueba%203/www.paypal.com/us/webapps/mpp/ua/upcoming-policies-full	(from https://www.paypal.com/signin)
19:20:39	437/437	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:39%20GMT	https://www.paypal.com/us/webapps/mpp/country-worldwide	C:/Users/m/Downloads/Prueba%203/www.paypal.com/us/webapps/mpp/country-worldwide	(from https://www.paypal.com/signin)
19:20:39	5534/5534	---M-Z	200	added ('OK')	application/javascript	etag:W/%22622a497e-159e%22	https://www.paypalobjects.com/web/res/459/681f2a016328a227b428ef594fea4/js/lib/fn-sync-telemetry-min.js	C:/Users/m/Downloads/Prueba%203/www.paypalobjects.com/web/res/459/681f2a016328a227b428ef594fea4/js/lib/fn-sync-telemetry-min.js	(from https://www.paypal.com/signin)
19:20:39	376826/376826	---M-Z	200	added ('OK')	application/javascript	etag:W/%22622a497e-5bffa%22	https://www.paypalobjects.com/web/res/459/681f2a016328a227b428ef594fea4/js/signin-split.js	C:/Users/m/Downloads/Prueba%203/www.paypalobjects.com/web/res/459/681f2a016328a227b428ef594fea4/js/signin-split.js	(from https://www.paypal.com/signin)
19:20:40	55423/55423	---M-Z	200	added ('OK')	application/javascript	etag:%22621d4e61-d87f%22	https://www.paypalobjects.com/pa/js/min/pa.js	C:/Users/m/Downloads/Prueba%203/www.paypalobjects.com/pa/js/min/pa.js	(from https://www.paypal.com/signin)
19:20:40	457/457	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:40%20GMT	https://www.paypal.com/auth/createchallenge/3da5a9fcf9e20cfb/recaptchav3.js?_sessionID=KCs9nbpIhZQ_YP4hkg5KI1PHbNdsGpc3	C:/Users/m/Downloads/Prueba%203/www.paypal.com/auth/createchallenge/3da5a9fcf9e20cfb/recaptchav3ad54.js	(from https://www.paypal.com/signin)
